"Jadual 1.8:    Perbelanjaan penggunaan isi rumah bulanan purata mengikut kumpulan umur ketua isi rumah, Malaysia, 2024",,,,,,,,,,,,,
"Table 1.8:       Mean monthly household consumption expenditure by age groups of the head of household, Malaysia, 2024",,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,(RM),,,,,,
,"Kumpulan perbelanjaan
Expenditure groups",,Umur (Tahun) / Age (Year),,,,,,,,,,
,,,15-24,25-34,35-44,45-64,"65 dan 
lebih
65 and over",,,,,,
,,,,,,,,,,,,,
01,"Makanan dan Minuman 
Food and Beverages",,715,827,903,915,788,,,,,,
,,"Beras
Rice",40,43,48,50,42,,,,,,
,,"Roti & bijirin lain
Bread & other cereals",70,81,89,88,65,,,,,,
,,"Daging
Meat",102,117,130,135,105,,,,,,
,,"Ikan & makanan laut
Fish & seafood",147,171,192,209,180,,,,,,
,,"Susu, keju & telur
Milk, cheese & eggs",49,54,59,62,69,,,,,,
,,"Minyak & lemak
Oils & fats",28,31,34,35,31,,,,,,
,,"Buah-buahan
Fruits ",47,62,75,71,62,,,,,,
,,"Sayur-sayuran
Vegetables",75,82,88,93,88,,,,,,
,,"Gula, jem, madu, coklat & manisan
Sugar, jam, honey, chocolate & confectionery",22,24,28,26,20,,,,,,
,,"Keluaran makanan t.t.t.l
Food products n.e.c",95,122,117,101,89,,,,,,
,,"Kopi, teh, koko & minuman bukan alkohol 
Coffee, tea, cocoa & non-alcoholic beverages",40,40,43,45,37,,,,,,
02,"Minuman Alkohol dan Tembakau
Alcoholic Beverages and Tobacco",,66,82,92,106,68,,,,,,
03,"Pakaian dan Kasut
Clothing and Footwear",,128,142,162,164,105,,,,,,
04,"Perumahan, Air, Elektrik, Gas dan Bahan Api Lain
Housing, Water, Electricity, Gas and Other Fuels",,993,"1,202","1,377","1,368","1,161",,,,,,
05,"Hiasan, Perkakasan dan Penyelenggaraan Isi Rumah            
Furnishings, Household Equipment and Routine Household Maintenance",,162,241,270,272,235,,,,,,
06,"Kesihatan
Health",,95,123,131,156,185,,,,,,
07,"Pengangkutan 
Transport ",,439,538,638,690,441,,,,,,
08,"Maklumat dan Komunikasi
Information and Communication",,262,327,365,386,234,,,,,,
09,"Rekreasi, Sukan dan Kebudayaan
Recreation, Sport and Culture",,105,142,185,210,128,,,,,,
10,"Perkhidmatan Pendidikan
Education Services",,58,52,106,88,20,,,,,,
11,"Restoran dan Perkhidmatan Penginapan
Restaurants and Accommodation Services",,800,941,"1,043","1,006",619,,,,,,
,,"Perbelanjaan makanan di luar rumah
Expenditure on food away from home",646,745,815,788,498,,,,,,
,,"Perbelanjaan minuman di luar rumah
Expenditure on beverages away from home",139,167,178,163,93,,,,,,
,,"Perkhidmatan penginapan & lain-lain
Accommodation services & others",15,29,50,55,28,,,,,,
12,"Insurans dan Perkhidmatan Kewangan
Insurance and Financial Services",,96,216,290,299,154,,,,,,
13,"Penjagaan Diri, Perlindungan Sosial dan Pelbagai Barangan dan Perkhidmatan
Personal Care, Social Protection and Miscellaneous Goods and Services",,205,290,337,345,213,,,,,,
,,,,,,,,,,,,,
,"Perbelanjaan penggunaan 
isi rumah bulanan purata (01?13)
Mean monthly household consumption 
expenditure (01?13)",,"4,124","5,123","5,899","6,005","4,351",,,,,,
